Created at [Route Purchase],Price [Route Purchase],Id [Route],Title [Route],Type [Payment],Id [User]
"January 01, 2025 09:26",11.99,6655,Ancient Agora of Athens: A guide to its history and legends,AndroidPayment,387496
"January 01, 2025 09:27",8.99,852,The Heart of Venice,CouponRedemptionResellerReply,387513
"January 01, 2025 09:30",9.99,6789,600 Years of History and Heritage: A Leuven Walking Tour,CouponRedemptionResellerReply,387514
"January 01, 2025 09:37",11.99,10259,Buda’s Castle District: A Walking Tour Through Budapest’s Bastion of Folklore,InAppPurchase,385979
"January 01, 2025 09:41",8.99,10696,The Hardest City to Invade: A Guide to Saint Malo’s Secrets and Stories,StripePayment,387515
"January 01, 2025 09:45",0.0,5363,"Mandarin Oriental, Bangkok: a neighbourhood tour",CouponRedemption,387518
"January 01, 2025 09:55",8.99,10696,The Hardest City to Invade: A Guide to Saint Malo’s Secrets and Stories,StripePayment,387519
"January 01, 2025 09:55",9.99,7368,The History of Power in Modern Rome: A Walking Tour in the Ancient City,InAppPurchase,387517
"January 01, 2025 09:57",19.99,9629,The French Revolution in Paris: A Walking Tour with Context,CouponRedemptionPaid,387520
"January 01, 2025 09:58",9.99,7502,Parma tour: A walk through the history of Europe’s culinary capital,InAppPurchase,387376
"January 01, 2025 10:05",7.99,313,London's Alternative History Tour: Uncovering the City's Secrets,InAppPurchase,124903
"January 01, 2025 10:05",7.99,313,London's Alternative History Tour: Uncovering the City's Secrets,InAppPurchase,163611
"January 01, 2025 10:06",0.0,1446,Lower Cableway Station Audio Guide: In-Queue Entertainment,FreePayment,387351
"January 01, 2025 10:06",9.99,6953,Stockholm walking tour: the landmarks and legends of Gamla Stan and beyond,InAppPurchase,99126
"January 01, 2025 10:13",6.99,4153,"Bucharest’s Highlights and Beyond: Monarchy, Communism and Modern Times",StripePayment,385560
"January 01, 2025 10:15",6.99,10261,Bangkok's Old Town,InAppPurchase,386234
"January 01, 2025 10:17",0.0,1447,Upper Cableway Station Audio Guide: Tabletop Walking Tour,FreePayment,387526
"January 01, 2025 10:18",9.99,7923,Paris’ Iron Lady: A Walking Tour from Trocadéro Gardens to the Eiffel Tower,InAppPurchase,239500
"January 01, 2025 10:22",9.99,7385,The Dark Side of Zurich: A Walking Tour through Old Town,InAppPurchase,387527
"January 01, 2025 10:25",0.0,1095,Cape Point Audio Guide: Lighthouse Walk,FreePayment,107300
"January 01, 2025 10:27",9.99,3351,Montmartre: More than Meets the Eye,InAppPurchase,384713
"January 01, 2025 10:27",0.0,5449,Discover Liwa Driving Tour,FreePayment,268034
"January 01, 2025 10:34",8.99,6576,Roman Cologne Walking Tour: From Cologne Cathedral to the Ubii Monument,CouponRedemptionResellerReply,387529
"January 01, 2025 10:34",11.99,7689,Monumente und Gedenkstätten: Vom Reichstag zum Potsdamer Platz,InAppPurchase,276387
"January 01, 2025 10:35",5.99,10255,"Dwarfs, Ghosts and Beer: A Guide to Wrocław’s Old Town",CouponRedemptionResellerReply,387530
"January 01, 2025 10:35",9.99,8813,Fantastic Florence Sights: Michelangelo Terrace and San Miniato Basilica,InAppPurchase,385808
"January 01, 2025 10:38",6.99,3878,Italy at its most Italian: A guide to Naples from Ancient Greece to the present,InAppPurchase,211034
"January 01, 2025 10:39",7.99,9515,Cobblestones and Cathedrals: A Tour of Strasbourg’s Grand Île,InAppPurchase,342972
"January 01, 2025 10:39",11.99,10067,Spain’s City of Light: Alicante’s History and Highlights,CouponRedemptionResellerReply,322128
"January 01, 2025 10:44",7.99,11056,Memories of Crystal Palace: A Tour Through Time,StripePayment,387532
"January 01, 2025 10:49",7.99,10212,Spain’s Golden City: A Walk From Plaza Mayor to Salamanca Cathedral,CouponRedemptionResellerReply,387533
"January 01, 2025 10:52",9.99,3351,Montmartre: More than Meets the Eye,CouponRedemptionResellerReply,387534
"January 01, 2025 10:55",7.99,8833,Edinburgh’s Dean Village: A Historical Wander along the Water of Leith Walkway,InAppPurchase,367926
"January 01, 2025 10:56",9.99,9400,Architecture of Lisbon: A Historical Tour with Context,CouponRedemptionResellerReply,387522
"January 01, 2025 11:02",11.99,9197,Hidden Ghent Walking Tour: A Guide to the Authentic Flemish City No One Knows,StripePayment,387535
"January 01, 2025 11:02",8.99,3633,The Vienna Food Walk,InAppPurchase,376816
"January 01, 2025 11:03",11.99,4921,Vienna and the Holocaust: From Tragedy to Justice,InAppPurchase,376816
"January 01, 2025 11:12",6.99,6970,On the Origins of Charles Darwin: A Shrewsbury Walking Tour,CouponRedemptionResellerReply,387537
"January 01, 2025 11:13",8.99,4327,Glasgow: The Merchant City,InAppPurchase,384086
"January 01, 2025 11:13",11.99,7578,Barcelona Walking Tour: Landmarks and Legends of El Born and Ciutadella Park,InAppPurchase,385479
"January 01, 2025 11:14",6.99,6970,On the Origins of Charles Darwin: A Shrewsbury Walking Tour,CouponRedemptionResellerReply,387536
"January 01, 2025 11:23",7.99,5218,Highlights of Cork: The Rebel City on the River Lee,CouponRedemptionResellerReply,387540
"January 01, 2025 11:24",9.99,1278,"Chiado to Principe Real: Local History, City Views and Urban Cool",InAppPurchase,386585
"January 01, 2025 11:26",7.99,281,The Philosopher's Last Walk,CouponRedemptionResellerReply,387541
